season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2020-21,Charlie Brown Jr.,OKC,UNK,9,16.9,4.8,1.4,1.1,1.0,4.4,1.0,1.9,0.4,0.2,0.7
2020-21,Chasson Randle,ORL,UNK,41,20.4,5.8,2.2,1.2,0.9,6.5,1.8,2.0,0.5,0.1,1.1
2020-21,Chimezie Metu,SAC,UNK,36,13.6,5.0,2.5,1.2,0.9,6.3,0.8,3.1,0.4,0.5,0.8
2020-21,Chris Boucher,TOR,UNK,60,24.2,9.3,4.8,3.2,2.5,13.6,1.1,6.7,0.6,1.9,0.8
2020-21,Chris Chiozza,BKN,UNK,22,10.6,4.0,1.4,0.8,0.6,4.0,3.0,1.1,0.3,0.3,0.7
2020-21,Chris Paul,PHX,UNK,70,31.4,12.6,6.3,2.6,2.4,16.4,8.9,4.5,1.4,0.3,2.2
2020-21,Chris Silva,SAC,UNK,15,6.2,1.1,0.7,1.0,0.7,2.1,0.4,1.8,0.1,0.4,0.7
2020-21,Christian Wood,HOU,UNK,41,32.3,15.6,8.0,4.8,3.0,21.0,1.7,9.6,0.8,1.2,2.0
2020-21,Chuma Okeke,ORL,UNK,45,25.2,7.2,3.0,0.9,0.7,7.8,2.2,4.0,1.1,0.5,0.8
2020-21,Clint Capela,ATL,UNK,63,30.1,11.0,6.6,3.6,2.1,15.2,0.8,14.3,0.7,2.0,1.2
2020-21,Coby White,CHI,UNK,69,31.2,13.1,5.4,2.1,1.9,15.1,4.8,4.1,0.6,0.2,2.3
2020-21,Cody Martin,CHA,UNK,52,16.3,3.6,1.6,0.8,0.5,4.0,1.7,3.1,0.7,0.2,0.8
2020-21,Cody Zeller,CHA,UNK,48,20.9,6.8,3.8,2.5,1.8,9.4,1.8,6.8,0.6,0.4,1.1
2020-21,Cole Anthony,ORL,UNK,47,27.1,11.7,4.7,2.8,2.3,12.9,4.1,4.7,0.6,0.4,2.3
2020-21,Collin Sexton,CLE,UNK,60,35.3,18.4,8.8,6.4,5.2,24.3,4.4,3.1,1.0,0.2,2.8
2020-21,Cory Joseph,DET,UNK,63,23.0,6.8,3.2,1.4,1.1,8.2,3.4,2.5,1.0,0.3,1.3
2020-21,Cristiano Felicio,CHI,UNK,18,4.6,0.7,0.4,0.9,0.5,1.3,0.5,1.4,0.2,0.0,0.2
2020-21,D'Angelo Russell,MIN,UNK,42,28.5,15.5,6.7,3.5,2.7,19.0,5.8,2.6,1.1,0.4,2.7
2020-21,D.J. Augustin,HOU,UNK,57,19.8,6.0,2.4,1.6,1.5,7.7,3.3,1.6,0.5,0.0,1.1
2020-21,D.J. Wilson,HOU,UNK,35,12.4,4.8,1.9,0.7,0.5,5.2,0.7,3.2,0.3,0.5,0.6
2020-21,DaQuan Jeffries,SAS,UNK,31,15.9,3.9,1.6,0.3,0.2,4.1,0.7,2.3,0.5,0.3,0.5
2020-21,Dakota Mathias,PHI,UNK,8,15.4,6.0,2.4,0.8,0.3,6.0,1.6,0.9,0.1,0.4,0.1
2020-21,Damian Jones,SAC,UNK,39,14.0,2.6,1.8,1.5,1.1,4.7,0.7,3.1,0.3,0.7,0.7
2020-21,Damian Lillard,POR,UNK,67,35.8,19.9,9.0,7.2,6.7,28.8,7.5,4.2,0.9,0.3,3.0
2020-21,Damion Lee,GSW,UNK,57,18.9,4.8,2.2,0.8,0.7,6.5,1.3,3.2,0.7,0.1,0.5
2020-21,Damyean Dotson,CLE,UNK,46,19.7,6.4,2.6,0.8,0.5,6.7,2.0,2.0,0.3,0.1,0.9
2020-21,Daniel Gafford,WAS,UNK,54,14.7,4.2,2.9,2.0,1.3,7.0,0.5,4.3,0.5,1.4,0.8
2020-21,Daniel Oturu,LAC,UNK,30,5.4,1.7,0.7,0.4,0.3,1.8,0.3,1.6,0.1,0.2,0.3
2020-21,Daniel Theis,CHI,UNK,65,24.6,7.2,3.9,1.7,1.1,9.6,1.7,5.5,0.6,0.9,1.0
2020-21,Danilo Gallinari,ATL,UNK,51,24.0,9.3,4.0,3.4,3.2,13.3,1.5,4.1,0.6,0.2,0.8
2020-21,Danny Green,PHI,UNK,69,28.0,7.9,3.2,0.6,0.4,9.5,1.7,3.8,1.3,0.8,1.0
2020-21,Danté Exum,HOU,UNK,6,19.4,4.3,1.7,0.3,0.2,3.8,2.2,2.8,0.7,0.3,1.2
2020-21,Danuel House Jr.,HOU,UNK,36,25.9,7.6,3.1,1.8,1.1,8.8,1.9,3.7,0.6,0.4,1.0
2020-21,Dario Šarić,PHX,UNK,50,17.4,6.8,3.1,2.0,1.7,8.7,1.3,3.8,0.6,0.1,1.1
2020-21,Darius Bazley,OKC,UNK,55,31.2,12.5,5.0,3.2,2.3,13.7,1.8,7.2,0.5,0.5,2.2
2020-21,Darius Garland,CLE,UNK,54,33.1,14.9,6.7,2.4,2.1,17.4,6.1,2.4,1.2,0.1,3.0
2020-21,Darius Miller,OKC,UNK,18,10.9,2.7,1.2,0.7,0.7,4.1,1.2,1.3,0.7,0.3,0.4
2020-21,David Nwaba,HOU,UNK,30,22.6,7.3,3.5,2.3,1.6,9.2,1.0,3.9,1.0,0.7,0.6
2020-21,Davis Bertans,WAS,UNK,57,25.7,8.4,3.4,2.0,1.8,11.5,0.9,2.9,0.6,0.2,0.6
2020-21,De'Aaron Fox,SAC,UNK,58,35.1,19.1,9.1,7.2,5.2,25.2,7.2,3.5,1.5,0.5,3.0
2020-21,De'Andre Hunter,ATL,UNK,23,29.5,10.8,5.2,3.7,3.2,15.0,1.9,4.8,0.8,0.5,1.3
2020-21,De'Anthony Melton,MEM,UNK,52,20.1,7.6,3.3,1.0,0.8,9.1,2.5,3.1,1.2,0.6,1.3
2020-21,DeAndre Jordan,BKN,UNK,57,21.9,4.4,3.3,1.6,0.8,7.5,1.6,7.5,0.3,1.1,1.5
2020-21,DeAndre' Bembry,TOR,UNK,51,19.1,4.5,2.3,1.3,0.9,5.7,2.1,2.9,1.0,0.4,1.4
2020-21,DeMar DeRozan,SAS,UNK,61,33.7,15.1,7.5,7.2,6.3,21.6,6.9,4.2,0.9,0.2,2.0
2020-21,DeMarcus Cousins,LAC,UNK,41,17.4,7.4,3.2,2.0,1.4,8.9,1.9,6.4,0.8,0.6,1.6
2020-21,Dean Wade,CLE,UNK,63,19.2,4.9,2.1,0.6,0.5,6.0,1.2,3.4,0.6,0.3,0.5
2020-21,Deandre Ayton,PHX,UNK,69,30.6,10.0,6.2,2.5,1.9,14.4,1.4,10.5,0.6,1.2,1.5
2020-21,Deividas Sirvydis,DET,UNK,20,6.7,2.0,0.7,0.3,0.2,2.1,0.3,1.5,0.1,0.0,0.3
2020-21,Dejounte Murray,SAS,UNK,67,31.9,14.5,6.6,2.0,1.6,15.7,5.4,7.1,1.5,0.1,1.7
2020-21,Delon Wright,SAC,UNK,63,27.7,8.2,3.8,2.0,1.6,10.2,4.4,4.3,1.6,0.5,1.3
2020-21,Deni Avdija,WAS,UNK,54,23.3,5.8,2.4,0.8,0.5,6.3,1.2,4.9,0.6,0.3,0.6
2020-21,Dennis Schröder,LAL,UNK,61,32.1,12.5,5.4,4.0,3.4,15.4,5.8,3.5,1.1,0.2,2.7
2020-21,Dennis Smith Jr.,DET,UNK,23,18.3,6.3,2.5,1.1,0.8,6.7,3.3,2.4,1.0,0.6,1.1
2020-21,Denzel Valentine,CHI,UNK,62,16.7,6.7,2.5,0.3,0.3,6.5,1.7,3.2,0.5,0.1,0.7
2020-21,Derrick Favors,UTA,UNK,68,15.3,3.6,2.3,1.2,0.9,5.4,0.6,5.5,0.5,1.0,0.5
2020-21,Derrick Jones Jr.,POR,UNK,58,22.7,5.2,2.5,1.6,1.0,6.8,0.8,3.5,0.6,0.9,0.6
2020-21,Derrick Rose,NYK,UNK,50,25.6,12.2,5.7,2.5,2.2,14.7,4.2,2.6,1.0,0.4,1.6
2020-21,Derrick White,SAS,UNK,36,29.5,12.6,5.2,3.2,2.7,15.4,3.5,3.0,0.7,1.0,1.3
2020-21,Desmond Bane,MEM,UNK,68,22.3,7.3,3.4,0.7,0.6,9.2,1.7,3.1,0.6,0.2,0.9
2020-21,Devin Booker,PHX,UNK,67,33.9,19.2,9.3,5.9,5.1,25.6,4.3,4.2,0.8,0.2,3.1
2020-21,Devin Cannady,ORL,UNK,8,9.3,3.5,1.4,0.9,0.8,4.3,0.1,0.6,0.6,0.1,0.3
2020-21,Devin Vassell,SAS,UNK,62,17.0,4.9,2.0,0.8,0.7,5.5,0.9,2.8,0.7,0.3,0.4
2020-21,Devon Dotson,CHI,UNK,11,4.6,1.9,1.0,0.0,0.0,2.1,0.6,0.5,0.4,0.0,0.0
2020-21,Devontae Cacok,LAL,UNK,20,4.9,1.5,0.9,0.6,0.3,2.0,0.1,1.6,0.3,0.2,0.3
2020-21,Devonte' Graham,CHA,UNK,55,30.2,12.2,4.6,2.9,2.4,14.8,5.4,2.7,0.9,0.1,1.5
2020-21,Dewayne Dedmon,MIA,UNK,16,13.2,4.1,2.9,1.7,1.3,7.1,0.8,5.4,0.6,0.4,0.8
2020-21,Didi Louzada,NOP,UNK,3,18.8,4.3,1.0,0.0,0.0,2.7,1.0,1.0,0.7,0.0,1.0
2020-21,Dillon Brooks,MEM,UNK,67,29.8,15.4,6.4,2.9,2.4,17.2,2.3,2.9,1.2,0.4,1.8
2020-21,Domantas Sabonis,IND,UNK,62,36.0,14.6,7.8,5.3,3.9,20.3,6.7,12.0,1.2,0.5,3.4
2020-21,Donovan Mitchell,UTA,UNK,53,33.4,20.6,9.0,6.0,5.0,26.4,5.2,4.4,1.0,0.3,2.8
2020-21,Donta Hall,ORL,UNK,13,13.8,2.7,1.9,2.6,1.8,5.6,0.8,4.8,0.4,0.8,0.6
2020-21,Donte DiVincenzo,MIL,UNK,66,27.5,9.1,3.8,1.1,0.8,10.4,3.1,5.8,1.1,0.2,1.4
2020-21,Dorian Finney-Smith,DAL,UNK,60,32.0,7.8,3.7,0.7,0.5,9.8,1.7,5.4,0.9,0.4,0.8
2020-21,Doug McDermott,IND,UNK,66,24.5,10.1,5.4,1.5,1.2,13.6,1.3,3.3,0.3,0.1,0.8
2020-21,Draymond Green,GSW,UNK,63,31.5,6.0,2.7,1.4,1.1,7.0,8.9,7.1,1.7,0.8,3.0
2020-21,Drew Eubanks,SAS,UNK,54,14.0,3.8,2.1,2.0,1.4,5.8,0.8,4.5,0.3,0.9,0.8
2020-21,Duncan Robinson,MIA,UNK,72,31.4,10.0,4.4,1.0,0.9,13.1,1.8,3.5,0.6,0.3,1.1
2020-21,Dwayne Bacon,ORL,UNK,72,25.7,10.1,4.1,2.4,2.0,10.9,1.3,3.1,0.6,0.1,0.6
2020-21,Dwight Howard,PHI,UNK,69,17.3,4.4,2.6,3.0,1.8,7.0,0.9,8.4,0.4,0.9,1.6
2020-21,Dwight Powell,DAL,UNK,58,16.6,3.3,2.1,2.1,1.7,5.9,1.1,4.0,0.6,0.5,0.7
2020-21,Dylan Windler,CLE,UNK,31,16.5,4.2,1.8,0.9,0.7,5.2,1.1,3.5,0.6,0.4,1.0
2020-21,E'Twaun Moore,PHX,UNK,27,14.4,4.5,2.0,0.5,0.4,4.9,1.5,1.7,0.6,0.2,0.9
2020-21,Ed Davis,MIN,UNK,23,13.0,1.9,0.8,0.5,0.4,2.1,0.9,5.0,0.6,0.6,0.3
2020-21,Edmond Sumner,IND,UNK,53,16.2,5.3,2.8,1.6,1.3,7.5,0.9,1.8,0.6,0.2,1.0
2020-21,Elfrid Payton,NYK,UNK,63,23.6,9.9,4.3,1.7,1.2,10.1,3.2,3.4,0.7,0.1,1.6
2020-21,Elijah Bryant,MIL,UNK,1,31.6,13.0,6.0,3.0,3.0,16.0,3.0,6.0,0.0,1.0,4.0
2020-21,Elijah Hughes,UTA,UNK,18,3.5,1.7,0.6,0.2,0.2,1.7,0.3,0.5,0.1,0.1,0.3
2020-21,Enes Freedom,POR,UNK,72,24.4,7.8,4.7,2.3,1.8,11.2,1.2,11.0,0.5,0.7,1.1
2020-21,Eric Bledsoe,NOP,UNK,71,29.7,10.3,4.3,2.7,1.9,12.2,3.8,3.4,0.8,0.3,1.6
2020-21,Eric Gordon,HOU,UNK,27,29.2,13.6,5.9,4.2,3.5,17.8,2.6,2.1,0.5,0.5,1.9
2020-21,Eric Paschall,GSW,UNK,40,17.4,7.5,3.7,2.4,1.7,9.5,1.3,3.2,0.3,0.2,1.1
2020-21,Ersan Ilyasova,UTA,UNK,17,8.7,3.2,1.2,0.3,0.3,3.8,0.2,1.7,0.6,0.2,0.5
2020-21,Evan Fournier,BOS,UNK,42,30.0,12.9,5.9,3.3,2.6,17.1,3.4,3.0,1.1,0.5,1.7
2020-21,Facundo Campazzo,DEN,UNK,65,21.9,4.8,1.8,1.4,1.2,6.1,3.6,2.1,1.2,0.2,1.1
2020-21,Frank Jackson,DET,UNK,40,18.5,7.3,3.4,1.9,1.5,9.8,0.9,2.2,0.4,0.0,0.9
2020-21,Frank Kaminsky,PHX,UNK,47,15.2,5.5,2.6,1.3,0.8,6.6,1.7,4.0,0.3,0.4,0.5
2020-21,Frank Mason III,ORL,UNK,4,19.8,6.0,2.3,1.8,1.3,6.3,3.0,3.0,0.0,0.0,1.3
2020-21,Frank Ntilikina,NYK,UNK,33,9.8,2.4,0.9,0.5,0.2,2.7,0.6,0.9,0.5,0.1,0.3
2020-21,Fred VanVleet,TOR,UNK,52,36.5,16.7,6.5,3.7,3.3,19.6,6.3,4.2,1.7,0.7,1.8
2020-21,Freddie Gillespie,TOR,UNK,20,19.6,4.2,2.2,1.7,1.2,5.6,0.5,4.9,0.7,1.0,0.6
2020-21,Furkan Korkmaz,PHI,UNK,55,19.3,7.7,3.1,1.5,1.1,9.1,1.5,2.1,0.9,0.2,0.8
2020-21,Gabe Vincent,MIA,UNK,50,13.1,4.7,1.8,0.5,0.4,4.8,1.3,1.1,0.4,0.0,0.7
2020-21,Gabriel Deck,OKC,UNK,10,21.2,6.7,3.2,2.2,1.8,8.4,2.4,4.0,0.8,0.0,0.6
2020-21,Garrett Temple,CHI,UNK,56,27.3,6.8,2.8,0.9,0.7,7.6,2.2,2.9,0.8,0.5,1.0
2020-21,Garrison Mathews,WAS,UNK,64,16.2,3.7,1.5,1.5,1.3,5.5,0.4,1.4,0.5,0.1,0.2
2020-21,Gary Clark,PHI,UNK,39,16.8,3.4,1.0,0.3,0.2,3.1,0.8,2.9,0.3,0.2,0.4
2020-21,Gary Harris,ORL,UNK,39,27.7,8.8,3.5,2.0,1.6,9.9,2.0,2.0,0.7,0.3,0.9
2020-21,Gary Payton II,GSW,UNK,10,4.0,1.3,1.0,0.4,0.3,2.5,0.1,1.1,0.6,0.1,0.1
2020-21,Gary Trent Jr.,TOR,UNK,58,31.1,13.5,5.5,1.8,1.4,15.3,1.4,2.6,1.0,0.2,0.7
2020-21,George Hill,PHI,UNK,30,22.4,6.6,3.2,1.7,1.3,8.7,2.4,2.0,0.8,0.2,1.0
2020-21,Georges Niang,UTA,UNK,72,16.0,5.6,2.5,0.3,0.3,6.9,0.8,2.4,0.3,0.1,0.7
2020-21,Giannis Antetokounmpo,MIL,UNK,61,33.0,18.0,10.3,9.5,6.5,28.1,5.9,11.0,1.2,1.2,3.4
2020-21,Glenn Robinson III,SAC,UNK,23,16.1,4.3,1.8,1.0,0.9,5.3,0.9,2.0,0.2,0.1,0.5
2020-21,Goga Bitadze,IND,UNK,45,12.5,4.3,1.8,1.4,1.0,5.1,0.8,3.3,0.2,1.3,0.4
2020-21,Goran Dragic,MIA,UNK,50,26.7,11.1,4.8,2.4,2.0,13.4,4.4,3.4,0.7,0.2,2.4
2020-21,Gordon Hayward,CHA,UNK,44,34.0,15.0,7.1,4.2,3.5,19.6,4.1,5.9,1.2,0.3,2.1
2020-21,Gorgui Dieng,SAS,UNK,38,14.5,4.3,2.2,1.8,1.5,6.8,1.3,3.7,0.7,0.4,0.8
2020-21,Grant Riller,CHA,UNK,7,3.9,1.7,1.1,0.0,0.0,2.6,0.4,0.1,0.1,0.0,0.1
2020-21,Grant Williams,BOS,UNK,63,18.1,3.9,1.7,0.8,0.5,4.7,1.0,2.8,0.5,0.4,0.9
2020-21,Grayson Allen,MEM,UNK,50,25.2,8.3,3.5,1.8,1.6,10.6,2.2,3.2,0.9,0.2,1.0
2020-21,Greg Whittington,DEN,UNK,4,3.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,Hamidou Diallo,DET,UNK,52,23.6,9.0,4.3,3.8,2.5,11.6,1.9,5.2,0.8,0.5,1.5
2020-21,Harrison Barnes,SAC,UNK,58,36.2,11.1,5.5,4.1,3.4,16.1,3.5,6.6,0.7,0.2,1.6
2020-21,Harry Giles III,POR,UNK,38,9.2,2.6,1.1,0.7,0.4,2.8,0.8,3.5,0.2,0.3,0.5
2020-21,Hassan Whiteside,SAC,UNK,36,15.2,6.2,3.5,2.2,1.1,8.1,0.6,6.0,0.3,1.3,1.1
2020-21,Henry Ellenson,TOR,UNK,2,19.2,7.0,2.5,2.0,1.5,7.5,2.5,6.0,0.0,0.0,0.0
2020-21,Ignas Brazdeikis,ORL,UNK,13,19.1,6.4,2.7,1.1,0.8,7.0,1.3,3.5,0.3,0.2,0.9
2020-21,Iman Shumpert,BKN,UNK,2,5.5,2.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5
2020-21,Immanuel Quickley,NYK,UNK,64,19.4,9.1,3.6,2.7,2.4,11.4,2.0,2.1,0.5,0.2,0.9
2020-21,Isaac Bonga,WAS,UNK,40,10.8,2.0,0.8,0.2,0.1,2.0,0.6,1.7,0.3,0.2,0.6
2020-21,Isaac Okoro,CLE,UNK,67,32.4,8.3,3.5,2.3,1.7,9.6,1.9,3.1,0.9,0.4,1.3
2020-21,Isaiah Hartenstein,CLE,UNK,46,12.1,3.7,2.0,1.5,1.0,5.1,1.2,3.9,0.4,0.8,1.0
2020-21,Isaiah Joe,PHI,UNK,41,9.3,3.2,1.2,0.6,0.4,3.7,0.5,0.9,0.3,0.1,0.3
2020-21,Isaiah Roby,OKC,UNK,61,23.4,7.0,3.4,1.9,1.4,8.7,1.8,5.6,0.9,0.6,1.9
2020-21,Isaiah Stewart,DET,UNK,68,21.4,6.0,3.3,1.4,0.9,7.9,0.9,6.7,0.6,1.3,1.0
2020-21,Isaiah Thomas,NOP,UNK,3,16.1,9.0,3.0,0.7,0.7,7.7,1.7,1.3,0.3,0.0,2.0
2020-21,Ish Smith,WAS,UNK,44,21.0,6.8,2.9,0.8,0.4,6.7,3.9,3.4,0.7,0.3,0.9
2020-21,Ivica Zubac,LAC,UNK,72,22.3,5.5,3.6,2.4,1.9,9.0,1.3,7.2,0.3,0.9,1.1
2020-21,JJ Redick,DAL,UNK,44,16.4,6.1,2.4,1.2,1.1,7.4,1.2,1.5,0.3,0.1,0.8
2020-21,Ja Morant,MEM,UNK,63,32.6,15.2,6.8,5.9,4.3,19.1,7.4,4.0,0.9,0.2,3.2
2020-21,JaKarr Sampson,IND,UNK,29,10.9,3.9,1.9,1.0,0.7,4.6,0.1,2.7,0.1,0.5,0.5
2020-21,JaMychal Green,DEN,UNK,58,19.3,6.4,3.0,1.0,0.8,8.1,0.9,4.8,0.4,0.4,0.9
2020-21,JaVale McGee,DEN,UNK,46,14.7,6.1,3.1,1.5,1.0,7.3,0.8,5.2,0.4,1.2,1.3
2020-21,Jabari Parker,BOS,UNK,13,12.7,4.2,2.3,1.0,0.8,5.5,0.8,3.2,0.1,0.4,0.8
2020-21,Jaden McDaniels,MIN,UNK,63,24.0,5.8,2.6,0.7,0.4,6.8,1.1,3.7,0.6,1.0,0.7
2020-21,Jae Crowder,PHX,UNK,60,27.5,8.2,3.3,1.3,1.0,10.1,2.1,4.7,0.8,0.5,0.9
2020-21,Jae'Sean Tate,HOU,UNK,70,29.2,8.9,4.5,2.1,1.5,11.3,2.5,5.3,1.2,0.5,1.4
2020-21,Jahlil Okafor,DET,UNK,27,12.9,3.8,2.3,0.9,0.6,5.4,0.5,2.4,0.2,0.2,0.8
2020-21,Jahmi'us Ramsey,SAC,UNK,13,7.3,2.9,1.2,0.4,0.4,3.1,0.5,0.8,0.3,0.1,0.2
2020-21,Jake Layman,MIN,UNK,45,13.9,4.1,2.0,0.8,0.6,5.1,0.6,1.5,0.6,0.4,0.6
2020-21,Jakob Poeltl,SAS,UNK,69,26.7,6.2,3.8,1.8,0.9,8.6,1.9,7.9,0.7,1.8,1.2
2020-21,Jalen Brunson,DAL,UNK,68,25.0,9.2,4.8,2.2,1.8,12.6,3.5,3.4,0.5,0.0,1.2
2020-21,Jalen Harris,TOR,UNK,13,13.2,5.5,2.8,0.7,0.5,7.4,1.3,1.4,0.6,0.0,1.1
2020-21,Jalen Lecque,IND,UNK,4,3.0,2.3,0.3,0.8,0.8,1.3,0.5,1.3,0.0,0.0,0.0
2020-21,Jalen McDaniels,CHA,UNK,47,19.2,6.0,2.8,1.4,1.0,7.4,1.1,3.6,0.6,0.4,1.0
2020-21,Jalen Smith,PHX,UNK,27,5.8,1.9,0.8,0.3,0.2,2.0,0.1,1.4,0.0,0.1,0.3
2020-21,Jamal Murray,DEN,UNK,48,35.5,16.5,7.9,3.2,2.8,21.2,4.8,4.0,1.3,0.3,2.3
2020-21,James Ennis III,ORL,UNK,41,24.1,5.9,2.8,2.1,1.7,8.4,1.5,4.0,0.8,0.2,0.9
2020-21,James Harden,BKN,UNK,44,36.6,16.7,7.8,7.3,6.3,24.6,10.8,7.9,1.2,0.8,4.0
2020-21,James Johnson,NOP,UNK,51,20.5,6.4,2.9,1.5,0.9,7.2,1.9,3.5,0.8,0.8,1.1
2020-21,James Nunnally,NOP,UNK,9,5.3,1.4,0.6,0.2,0.1,1.7,0.3,1.0,0.0,0.0,0.2
2020-21,James Wiseman,GSW,UNK,39,21.4,9.4,4.9,2.2,1.4,11.5,0.7,5.8,0.3,0.9,1.5
2020-21,Jared Dudley,LAL,UNK,12,6.7,0.8,0.2,0.0,0.0,0.5,0.4,1.8,0.1,0.1,0.2
2020-21,Jared Harper,NYK,UNK,8,2.0,0.5,0.0,0.5,0.4,0.4,0.1,0.3,0.0,0.0,0.4
2020-21,Jaren Jackson Jr.,MEM,UNK,11,23.5,11.4,4.8,3.8,3.2,14.4,1.1,5.6,1.1,1.6,1.4
2020-21,Jarred Vanderbilt,MIN,UNK,64,17.8,3.7,2.2,1.6,0.9,5.4,1.2,5.8,1.0,0.7,0.8
2020-21,Jarrell Brantley,UTA,UNK,28,4.9,1.9,0.9,0.1,0.1,2.3,0.5,1.0,0.3,0.1,0.3
2020-21,Jarrett Allen,CLE,UNK,63,29.6,7.7,4.7,4.6,3.2,12.8,1.7,10.0,0.5,1.4,1.6
2020-21,Jarrett Culver,MIN,UNK,34,14.7,4.9,2.0,1.4,0.9,5.3,0.7,3.1,0.5,0.3,0.8
2020-21,Javonte Green,CHI,UNK,41,11.6,2.5,1.3,1.0,0.7,3.6,0.4,1.7,0.7,0.1,0.5
2020-21,Jaxson Hayes,NOP,UNK,60,16.1,4.7,2.9,2.0,1.6,7.5,0.6,4.3,0.4,0.6,0.7
2020-21,Jay Scrubb,LAC,UNK,4,21.0,9.0,3.5,1.3,1.3,8.8,0.3,3.5,1.0,0.0,1.8
2020-21,Jaylen Adams,MIL,UNK,7,2.6,1.1,0.1,0.0,0.0,0.3,0.3,0.4,0.0,0.0,0.0
2020-21,Jaylen Brown,BOS,UNK,58,34.5,19.2,9.3,4.3,3.3,24.7,3.4,6.0,1.2,0.6,2.7
2020-21,Jaylen Hoard,OKC,UNK,19,16.8,4.6,2.3,2.2,1.5,6.1,1.3,3.4,0.7,0.3,0.9
2020-21,Jaylen Nowell,MIN,UNK,42,18.1,8.0,3.4,1.3,1.1,9.0,1.5,2.3,0.5,0.3,0.7
2020-21,Jayson Tatum,BOS,UNK,64,35.8,20.6,9.5,5.3,4.6,26.4,4.3,7.4,1.2,0.5,2.7
2020-21,Jeff Green,BKN,UNK,68,27.0,7.8,3.8,2.4,1.8,11.0,1.6,3.9,0.5,0.4,0.8
2020-21,Jeff Teague,MIL,UNK,55,17.3,5.2,2.2,1.9,1.6,6.7,2.4,1.6,0.6,0.2,1.2
2020-21,Jerami Grant,DET,UNK,54,33.9,17.3,7.4,6.4,5.4,22.3,2.8,4.6,0.6,1.1,2.0
2020-21,Jeremiah Martin,CLE,UNK,9,8.4,3.7,1.0,0.6,0.1,2.4,0.4,0.8,0.6,0.2,0.7
2020-21,Jeremy Lamb,IND,UNK,36,21.3,7.7,3.3,2.1,2.0,10.1,1.5,3.6,0.9,0.6,0.6
2020-21,Jerome Robinson,WAS,UNK,17,17.9,5.6,1.6,1.2,0.9,4.9,1.5,2.2,0.7,0.4,1.1
2020-21,Jevon Carter,PHX,UNK,60,11.9,3.7,1.6,0.1,0.1,4.1,1.2,1.5,0.5,0.2,0.3
2020-21,Jimmy Butler III,MIA,UNK,52,33.6,14.2,7.0,8.0,6.9,21.5,7.1,6.9,2.1,0.3,2.1
2020-21,Joe Harris,BKN,UNK,69,31.0,10.2,5.2,0.9,0.7,14.1,1.9,3.6,0.7,0.2,0.9
2020-21,Joe Ingles,UTA,UNK,67,27.9,8.4,4.1,1.3,1.1,12.1,4.7,3.6,0.7,0.2,1.7
2020-21,Joel Embiid,PHI,UNK,51,31.1,17.6,9.0,10.7,9.2,28.5,2.8,10.6,1.0,1.4,3.1
2020-21,John Collins,ATL,UNK,63,29.3,12.2,6.8,3.2,2.7,17.6,1.2,7.4,0.5,1.0,1.3
2020-21,John Konchar,MEM,UNK,43,13.4,3.2,1.6,0.7,0.6,4.3,1.1,3.0,0.7,0.2,0.4
2020-21,John Wall,HOU,UNK,40,32.2,18.2,7.3,5.3,4.0,20.6,6.9,3.2,1.1,0.8,3.5
2020-21,Jonas Valančiūnas,MEM,UNK,62,28.3,12.0,7.1,3.3,2.5,17.1,1.8,12.5,0.6,0.9,1.6
2020-21,Jontay Porter,MEM,UNK,11,4.9,1.4,0.7,0.5,0.3,2.0,0.1,1.3,0.3,0.1,0.6
2020-21,Jordan Bell,GSW,UNK,6,13.6,3.7,1.2,0.3,0.2,2.5,1.2,4.0,0.5,0.8,0.7
2020-21,Jordan Bone,ORL,UNK,14,14.0,3.9,1.6,0.0,0.0,4.0,1.3,1.7,0.1,0.0,0.2
2020-21,Jordan Clarkson,UTA,UNK,68,26.7,15.8,6.7,2.1,1.9,18.4,2.5,4.0,0.9,0.1,1.7
2020-21,Jordan McLaughlin,MIN,UNK,51,18.4,4.7,2.0,0.6,0.5,5.0,3.8,2.1,1.0,0.1,1.0
2020-21,Jordan Nwora,MIL,UNK,30,9.1,4.5,2.1,0.8,0.6,5.7,0.2,2.0,0.6,0.3,0.8
2020-21,Jordan Poole,GSW,UNK,51,19.4,9.3,4.0,2.3,2.1,12.0,1.9,1.8,0.5,0.2,1.0
2020-21,Josh Green,DAL,UNK,39,11.4,2.4,1.1,0.6,0.3,2.6,0.7,2.0,0.4,0.1,0.4
2020-21,Josh Hall,OKC,UNK,21,16.0,4.7,1.4,2.1,1.0,4.1,1.3,2.8,0.2,0.0,1.2
2020-21,Josh Hart,NOP,UNK,47,28.7,7.3,3.2,1.9,1.5,9.2,2.3,8.0,0.8,0.3,1.0
2020-21,Josh Jackson,DET,UNK,62,25.2,11.4,4.8,3.5,2.6,13.4,2.3,4.1,0.9,0.8,2.3
2020-21,Josh Okogie,MIN,UNK,59,20.3,4.3,1.7,1.8,1.4,5.4,1.1,2.6,0.9,0.5,0.7
2020-21,Josh Richardson,DAL,UNK,59,30.3,10.5,4.5,1.8,1.7,12.1,2.6,3.3,1.0,0.4,1.3
