season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2019-20,Brandon Knight,DET,UNK,25,18.5,6.7,2.4,1.4,0.8,7.3,2.8,1.6,0.4,0.1,1.5
2019-20,Brian Bowen II,IND,UNK,6,5.2,1.7,0.5,0.0,0.0,1.0,0.0,1.2,0.0,0.2,0.2
2019-20,Brook Lopez,MIL,UNK,68,26.7,9.9,4.3,2.2,1.9,12.0,1.5,4.6,0.7,2.4,1.0
2019-20,Bruce Brown,DET,UNK,58,28.2,7.7,3.4,2.1,1.5,8.9,4.0,4.7,1.1,0.5,1.7
2019-20,Bruno Caboclo,HOU,UNK,30,8.1,3.0,1.3,0.3,0.3,3.0,0.4,2.0,0.5,0.6,0.4
2019-20,Bruno Fernando,ATL,UNK,56,12.7,3.6,1.8,0.9,0.5,4.3,0.9,3.5,0.3,0.3,0.8
2019-20,Bryn Forbes,SAS,UNK,63,25.1,9.2,3.8,1.4,1.2,11.2,1.7,2.0,0.5,0.0,0.9
2019-20,Buddy Hield,SAC,UNK,72,30.8,16.1,6.9,1.9,1.6,19.2,3.0,4.6,0.9,0.2,2.3
2019-20,CJ McCollum,POR,UNK,70,36.5,19.4,8.7,2.6,2.0,22.2,4.4,4.2,0.8,0.6,1.8
2019-20,CJ Miles,WAS,UNK,10,16.1,5.9,1.9,2.0,1.5,6.4,1.2,1.2,1.0,0.4,0.4
2019-20,Caleb Martin,CHA,UNK,18,17.6,4.7,2.1,1.2,0.9,6.2,1.3,2.1,0.7,0.4,0.8
2019-20,Caleb Swanigan,POR,UNK,27,10.7,1.7,1.0,0.6,0.3,2.4,1.1,3.7,0.1,0.3,1.4
2019-20,Cam Reddish,ATL,UNK,58,26.7,9.6,3.7,2.2,1.7,10.5,1.5,3.7,1.1,0.5,1.7
2019-20,Cameron Johnson,PHX,UNK,57,22.0,7.1,3.1,1.0,0.8,8.8,1.2,3.3,0.6,0.4,0.6
2019-20,Cameron Payne,PHX,UNK,8,22.9,8.5,4.1,0.9,0.8,10.9,3.0,3.9,1.0,0.3,1.4
2019-20,Caris LeVert,BKN,UNK,45,29.6,16.3,6.9,4.4,3.1,18.7,4.4,4.2,1.2,0.2,2.6
2019-20,Carmelo Anthony,POR,UNK,58,32.8,13.5,5.8,2.8,2.3,15.4,1.5,6.3,0.8,0.5,1.7
2019-20,Carsen Edwards,BOS,UNK,37,9.5,3.5,1.1,0.5,0.4,3.3,0.6,1.3,0.3,0.1,0.4
2019-20,Cedi Osman,CLE,UNK,65,29.4,9.4,4.1,1.4,1.0,11.0,2.4,3.6,0.8,0.2,1.4
2019-20,Chandler Hutchison,CHI,UNK,28,18.8,6.3,2.9,2.8,1.6,7.8,0.9,3.9,1.0,0.3,1.0
2019-20,Chandler Parsons,ATL,UNK,5,10.8,3.6,1.0,0.0,0.0,2.8,0.6,1.4,0.8,0.2,0.6
2019-20,Charlie Brown Jr.,ATL,UNK,10,4.0,1.9,0.6,0.5,0.5,2.0,0.2,0.4,0.2,0.2,0.3
2019-20,Chasson Randle,GSW,UNK,3,13.5,1.3,0.0,2.0,1.7,1.7,1.7,0.7,0.7,0.0,0.0
2019-20,Cheick Diallo,PHX,UNK,47,10.2,3.0,2.0,0.8,0.7,4.7,0.5,2.8,0.2,0.3,0.7
2019-20,Chimezie Metu,SAS,UNK,18,5.8,2.3,1.3,0.7,0.6,3.2,0.6,1.8,0.2,0.3,0.6
2019-20,Chris Boucher,TOR,UNK,62,13.2,4.8,2.3,1.9,1.5,6.6,0.4,4.5,0.4,1.0,0.5
2019-20,Chris Chiozza,BKN,UNK,28,14.3,5.0,2.0,0.2,0.2,5.1,3.0,1.9,0.8,0.1,1.1
2019-20,Chris Clemons,HOU,UNK,33,8.8,4.3,1.7,0.3,0.3,4.9,0.8,0.9,0.3,0.2,0.6
2019-20,Chris Paul,OKC,UNK,70,31.5,12.7,6.2,4.0,3.6,17.6,6.7,5.0,1.6,0.2,2.3
2019-20,Chris Silva,MIA,UNK,44,7.9,1.8,1.1,1.3,0.8,3.0,0.5,2.9,0.2,0.5,0.7
2019-20,Christian Wood,DET,UNK,62,21.4,8.2,4.6,3.9,2.9,13.1,1.0,6.3,0.5,0.9,1.4
2019-20,Clint Capela,ATL,UNK,39,32.8,9.9,6.3,2.7,1.4,13.9,1.2,13.8,0.8,1.8,1.6
2019-20,Coby White,CHI,UNK,65,25.8,12.2,4.8,2.0,1.6,13.2,2.7,3.5,0.8,0.1,1.7
2019-20,Cody Martin,CHA,UNK,48,18.8,4.3,1.9,1.4,0.9,5.0,2.0,3.3,0.8,0.2,0.9
